# Chi2 Rg SupportVolume
1.87684e+03 9.26208e+01 2.70000e+07
1.87418e+03 9.24595e+01 2.70000e+07
1.87152e+03 9.22980e+01 2.70000e+07
1.86886e+03 9.21361e+01 2.70000e+07
1.86620e+03 9.19743e+01 2.70000e+07
1.86354e+03 9.18135e+01 2.70000e+07
1.86089e+03 9.16536e+01 2.70000e+07
1.85823e+03 9.14941e+01 2.70000e+07
1.85558e+03 9.13342e+01 2.70000e+07
1.85293e+03 9.11747e+01 2.70000e+07
1.85028e+03 9.10174e+01 2.70000e+07
1.84763e+03 9.08620e+01 2.70000e+07
1.84499e+03 9.07091e+01 2.70000e+07
1.84234e+03 9.05561e+01 2.70000e+07
1.83973e+03 9.04031e+01 2.70000e+07
1.83711e+03 9.02513e+01 2.70000e+07
1.83451e+03 9.00996e+01 2.70000e+07
1.83189e+03 8.99469e+01 2.70000e+07
1.82929e+03 8.97920e+01 2.70000e+07
1.82670e+03 8.96386e+01 2.70000e+07
1.82411e+03 8.94849e+01 2.70000e+07
1.82152e+03 8.93314e+01 2.70000e+07
1.81894e+03 8.91769e+01 2.70000e+07
1.81638e+03 8.90225e+01 2.70000e+07
1.81383e+03 8.88720e+01 2.70000e+07
1.81130e+03 8.87207e+01 2.70000e+07
1.80879e+03 8.85704e+01 2.70000e+07
1.80628e+03 8.84245e+01 2.70000e+07
1.80379e+03 8.82792e+01 2.70000e+07
1.80131e+03 8.81357e+01 2.70000e+07
1.79883e+03 8.79940e+01 2.70000e+07
1.79635e+03 8.78526e+01 2.70000e+07
1.79388e+03 8.77114e+01 2.70000e+07
1.79141e+03 8.75695e+01 2.70000e+07
1.78895e+03 8.74287e+01 2.70000e+07
1.78650e+03 8.72872e+01 2.70000e+07
1.78406e+03 8.71452e+01 2.70000e+07
1.78161e+03 8.70022e+01 2.70000e+07
1.77916e+03 8.68582e+01 2.70000e+07
1.77672e+03 8.67147e+01 2.70000e+07
1.77429e+03 8.65721e+01 2.70000e+07
1.77188e+03 8.64333e+01 2.70000e+07
1.76947e+03 8.62955e+01 2.70000e+07
1.76706e+03 8.61568e+01 2.70000e+07
1.76465e+03 8.60179e+01 2.70000e+07
1.76224e+03 8.58798e+01 2.70000e+07
1.75986e+03 8.57413e+01 2.70000e+07
1.75748e+03 8.56033e+01 2.70000e+07
1.75510e+03 8.54661e+01 2.70000e+07
1.75273e+03 8.53302e+01 2.70000e+07
1.75037e+03 8.51965e+01 2.70000e+07
1.74802e+03 8.50637e+01 2.70000e+07
1.74566e+03 8.49311e+01 2.70000e+07
1.74331e+03 8.47984e+01 2.70000e+07
1.74097e+03 8.46654e+01 2.70000e+07
1.73864e+03 8.45332e+01 2.70000e+07
1.73631e+03 8.44016e+01 2.70000e+07
1.73399e+03 8.42705e+01 2.70000e+07
1.73166e+03 8.41392e+01 2.70000e+07
1.72933e+03 8.40080e+01 2.70000e+07
1.72701e+03 8.38769e+01 2.70000e+07
1.72470e+03 8.37468e+01 2.70000e+07
1.72239e+03 8.36182e+01 2.70000e+07
1.72008e+03 8.34897e+01 2.70000e+07
1.71777e+03 8.33619e+01 2.70000e+07
1.71546e+03 8.32344e+01 2.70000e+07
1.71315e+03 8.31065e+01 2.70000e+07
1.71084e+03 8.29812e+01 2.70000e+07
1.70854e+03 8.28570e+01 2.70000e+07
1.70624e+03 8.27326e+01 2.70000e+07
1.70396e+03 8.26081e+01 2.70000e+07
1.70166e+03 8.24838e+01 2.70000e+07
1.69938e+03 8.23603e+01 2.70000e+07
1.69710e+03 8.22384e+01 2.70000e+07
1.69483e+03 8.21172e+01 2.70000e+07
1.69257e+03 8.19983e+01 2.70000e+07
1.69033e+03 8.18816e+01 2.70000e+07
1.68811e+03 8.17652e+01 2.70000e+07
1.68589e+03 8.16482e+01 2.70000e+07
1.68368e+03 8.15304e+01 2.70000e+07
1.68146e+03 8.14134e+01 2.70000e+07
1.67925e+03 8.12985e+01 2.70000e+07
1.67705e+03 8.11853e+01 2.70000e+07
1.67486e+03 8.10727e+01 2.70000e+07
1.67268e+03 8.09590e+01 2.70000e+07
1.67049e+03 8.08466e+01 2.70000e+07
1.66831e+03 8.07348e+01 2.70000e+07
1.66613e+03 8.06260e+01 2.70000e+07
1.66396e+03 8.05166e+01 2.70000e+07
1.66179e+03 8.04065e+01 2.70000e+07
1.65961e+03 8.02964e+01 2.70000e+07
1.65744e+03 8.01884e+01 2.70000e+07
1.65528e+03 8.00808e+01 2.70000e+07
1.65312e+03 7.99729e+01 2.70000e+07
1.65096e+03 7.98662e+01 2.70000e+07
1.64880e+03 7.97615e+01 2.70000e+07
1.64665e+03 7.96568e+01 2.70000e+07
1.64450e+03 7.95529e+01 2.70000e+07
1.64235e+03 7.94491e+01 2.70000e+07
1.64020e+03 7.93455e+01 2.70000e+07
1.63807e+03 7.92429e+01 2.70000e+07
1.63594e+03 7.91409e+01 2.70000e+07
1.63381e+03 7.90401e+01 2.70000e+07
1.63168e+03 7.89398e+01 2.70000e+07
1.62955e+03 7.88387e+01 2.70000e+07
1.62742e+03 7.87369e+01 2.70000e+07
1.62531e+03 7.86338e+01 2.70000e+07
1.62319e+03 7.85306e+01 2.70000e+07
1.62108e+03 7.84282e+01 2.70000e+07
1.61897e+03 7.83260e+01 2.70000e+07
1.61686e+03 7.82263e+01 2.70000e+07
1.61477e+03 7.81287e+01 2.70000e+07
1.61269e+03 7.80324e+01 2.70000e+07
1.61060e+03 7.79362e+01 2.70000e+07
1.60852e+03 7.78405e+01 2.70000e+07
1.60643e+03 7.77461e+01 2.70000e+07
1.60435e+03 7.76524e+01 2.70000e+07
1.60227e+03 7.75598e+01 2.70000e+07
1.60021e+03 7.74690e+01 2.70000e+07
1.59814e+03 7.73789e+01 2.70000e+07
1.59607e+03 7.72892e+01 2.70000e+07
1.59401e+03 7.71995e+01 2.70000e+07
1.59194e+03 7.71100e+01 2.70000e+07
1.58988e+03 7.70201e+01 2.70000e+07
1.58782e+03 7.69300e+01 2.70000e+07
1.58578e+03 7.68419e+01 2.70000e+07
1.58376e+03 7.67551e+01 2.70000e+07
1.58174e+03 7.66681e+01 2.70000e+07
1.57974e+03 7.65819e+01 2.70000e+07
1.57775e+03 7.64953e+01 2.70000e+07
1.57575e+03 7.64091e+01 2.70000e+07
1.57376e+03 7.63239e+01 2.70000e+07
1.57176e+03 7.62386e+01 2.70000e+07
1.56976e+03 7.61536e+01 2.70000e+07
1.56778e+03 7.60681e+01 2.70000e+07
1.56579e+03 7.59826e+01 2.70000e+07
1.56381e+03 7.58968e+01 2.70000e+07
1.56183e+03 7.58104e+01 2.70000e+07
1.55986e+03 7.57238e+01 2.70000e+07
1.55789e+03 7.56373e+01 2.70000e+07
1.55593e+03 7.55523e+01 2.70000e+07
1.55396e+03 7.54673e+01 2.70000e+07
1.55200e+03 7.53824e+01 2.70000e+07
1.55004e+03 7.52971e+01 2.70000e+07
1.54808e+03 7.52115e+01 2.70000e+07
1.54611e+03 7.51261e+01 2.70000e+07
1.54415e+03 7.50416e+01 2.70000e+07
1.54219e+03 7.49577e+01 2.70000e+07
1.54023e+03 7.48745e+01 2.70000e+07
1.53827e+03 7.47913e+01 2.70000e+07
1.53631e+03 7.47083e+01 2.70000e+07
1.53436e+03 7.46245e+01 2.70000e+07
1.53241e+03 7.45404e+01 2.70000e+07
1.53046e+03 7.44560e+01 2.70000e+07
1.52850e+03 7.43720e+01 2.70000e+07
1.52655e+03 7.42895e+01 2.70000e+07
1.52461e+03 7.42092e+01 2.70000e+07
1.52267e+03 7.41294e+01 2.70000e+07
1.52073e+03 7.40511e+01 2.70000e+07
1.51880e+03 7.39736e+01 2.70000e+07
1.51688e+03 7.38961e+01 2.70000e+07
1.51497e+03 7.38189e+01 2.70000e+07
1.51306e+03 7.37420e+01 2.70000e+07
1.51116e+03 7.36648e+01 2.70000e+07
1.50925e+03 7.35885e+01 2.70000e+07
1.50734e+03 7.35141e+01 2.70000e+07
1.50544e+03 7.34403e+01 2.70000e+07
1.50354e+03 7.33668e+01 2.70000e+07
1.50165e+03 7.32930e+01 2.70000e+07
1.49975e+03 7.32187e+01 2.70000e+07
1.49786e+03 7.31440e+01 2.70000e+07
1.49597e+03 7.30693e+01 2.70000e+07
1.49408e+03 7.29946e+01 2.70000e+07
1.49220e+03 7.29212e+01 2.70000e+07
1.49034e+03 7.28485e+01 2.70000e+07
1.48848e+03 7.27758e+01 2.70000e+07
1.48662e+03 7.27039e+01 2.70000e+07
1.48478e+03 7.26339e+01 2.70000e+07
1.48293e+03 7.25638e+01 2.70000e+07
1.48109e+03 7.24944e+01 2.70000e+07
1.47925e+03 7.24250e+01 2.70000e+07
1.47742e+03 7.23566e+01 2.70000e+07
1.47558e+03 7.22885e+01 2.70000e+07
1.47374e+03 7.22204e+01 2.70000e+07
1.47191e+03 7.21529e+01 2.70000e+07
1.47007e+03 7.20855e+01 2.70000e+07
1.46824e+03 7.20187e+01 2.70000e+07
1.46641e+03 7.19515e+01 2.70000e+07
1.46457e+03 7.18842e+01 2.70000e+07
1.46274e+03 7.18169e+01 2.70000e+07
1.46091e+03 7.17498e+01 2.70000e+07
1.45908e+03 7.16830e+01 2.70000e+07
1.45726e+03 7.16166e+01 2.70000e+07
1.45544e+03 7.15512e+01 2.70000e+07
1.45363e+03 7.14872e+01 2.70000e+07
1.45182e+03 7.14232e+01 2.70000e+07
1.45002e+03 7.13590e+01 2.70000e+07
1.44822e+03 7.12947e+01 2.70000e+07
1.44643e+03 7.12303e+01 2.70000e+07
1.44464e+03 7.11670e+01 2.70000e+07
1.44284e+03 7.11042e+01 2.70000e+07
1.44105e+03 7.10411e+01 2.70000e+07
1.43927e+03 7.09779e+01 2.70000e+07
1.43748e+03 7.09148e+01 2.70000e+07
1.43569e+03 7.08516e+01 2.70000e+07
1.43391e+03 7.07875e+01 2.70000e+07
1.43214e+03 7.07233e+01 2.70000e+07
1.43037e+03 7.06595e+01 2.70000e+07
1.42860e+03 7.05956e+01 2.70000e+07
1.42684e+03 7.05312e+01 2.70000e+07
1.42508e+03 7.04668e+01 2.70000e+07
1.42331e+03 7.04023e+01 2.70000e+07
1.42155e+03 7.03379e+01 2.70000e+07
1.41979e+03 7.02736e+01 2.70000e+07
1.41803e+03 7.02094e+01 2.70000e+07
1.41627e+03 7.01452e+01 2.70000e+07
1.41451e+03 7.00807e+01 2.70000e+07
1.41276e+03 7.00160e+01 2.70000e+07
1.41101e+03 6.99503e+01 2.70000e+07
1.40927e+03 6.98843e+01 2.70000e+07
1.40754e+03 6.98191e+01 2.70000e+07
1.40582e+03 6.97551e+01 2.70000e+07
1.40411e+03 6.96921e+01 2.70000e+07
1.40241e+03 6.96290e+01 2.70000e+07
1.40073e+03 6.95655e+01 2.70000e+07
1.39906e+03 6.95012e+01 2.70000e+07
1.39739e+03 6.94369e+01 2.70000e+07
1.39573e+03 6.93738e+01 2.70000e+07
1.39407e+03 6.93103e+01 2.70000e+07
1.39241e+03 6.92469e+01 2.70000e+07
1.39075e+03 6.91841e+01 2.70000e+07
1.38909e+03 6.91214e+01 2.70000e+07
1.38742e+03 6.90588e+01 2.70000e+07
1.38576e+03 6.89961e+01 2.70000e+07
1.38409e+03 6.89330e+01 2.70000e+07
1.38244e+03 6.88700e+01 2.70000e+07
1.38079e+03 6.88073e+01 2.70000e+07
1.37914e+03 6.87454e+01 2.70000e+07
1.37750e+03 6.86843e+01 2.70000e+07
1.37585e+03 6.86237e+01 2.70000e+07
1.37421e+03 6.85629e+01 2.70000e+07
1.37256e+03 6.85019e+01 2.70000e+07
1.37092e+03 6.84420e+01 2.70000e+07
1.36928e+03 6.83822e+01 2.70000e+07
1.36763e+03 6.83225e+01 2.70000e+07
1.36598e+03 6.82627e+01 2.70000e+07
1.36434e+03 6.82033e+01 2.70000e+07
1.36271e+03 6.81448e+01 2.70000e+07
1.36108e+03 6.80865e+01 2.70000e+07
1.35945e+03 6.80285e+01 2.70000e+07
1.35782e+03 6.79706e+01 2.70000e+07
1.35619e+03 6.79123e+01 2.70000e+07
1.35456e+03 6.78546e+01 2.70000e+07
1.35294e+03 6.77971e+01 2.70000e+07
1.35132e+03 6.77397e+01 2.70000e+07
1.34970e+03 6.76825e+01 2.70000e+07
1.34809e+03 6.76247e+01 2.70000e+07
1.34650e+03 6.75663e+01 2.70000e+07
1.34490e+03 6.75079e+01 2.70000e+07
1.34331e+03 6.74494e+01 2.70000e+07
1.34171e+03 6.73913e+01 2.70000e+07
1.34011e+03 6.73333e+01 2.70000e+07
1.33851e+03 6.72756e+01 2.70000e+07
1.33692e+03 6.72179e+01 2.70000e+07
1.33532e+03 6.71601e+01 2.70000e+07
1.33373e+03 6.71028e+01 2.70000e+07
1.33215e+03 6.70458e+01 2.70000e+07
1.33056e+03 6.69885e+01 2.70000e+07
1.32898e+03 6.69312e+01 2.70000e+07
1.32741e+03 6.68742e+01 2.70000e+07
1.32584e+03 6.68170e+01 2.70000e+07
1.32426e+03 6.67605e+01 2.70000e+07
1.32269e+03 6.67037e+01 2.70000e+07
1.32112e+03 6.66469e+01 2.70000e+07
1.31955e+03 6.65894e+01 2.70000e+07
1.31799e+03 6.65312e+01 2.70000e+07
1.31644e+03 6.64720e+01 2.70000e+07
1.31489e+03 6.64128e+01 2.70000e+07
1.31334e+03 6.63539e+01 2.70000e+07
1.31179e+03 6.62955e+01 2.70000e+07
1.31024e+03 6.62369e+01 2.70000e+07
1.30869e+03 6.61793e+01 2.70000e+07
1.30715e+03 6.61219e+01 2.70000e+07
1.30561e+03 6.60650e+01 2.70000e+07
1.30408e+03 6.60084e+01 2.70000e+07
1.30256e+03 6.59518e+01 2.70000e+07
1.30103e+03 6.58954e+01 2.70000e+07
1.29950e+03 6.58390e+01 2.70000e+07
1.29798e+03 6.57820e+01 2.70000e+07
1.29647e+03 6.57251e+01 2.70000e+07
1.29496e+03 6.56690e+01 2.70000e+07
1.29345e+03 6.56131e+01 2.70000e+07
1.29196e+03 6.55578e+01 2.70000e+07
1.29047e+03 6.55020e+01 2.70000e+07
1.28898e+03 6.54461e+01 2.70000e+07
1.28750e+03 6.53912e+01 2.70000e+07
1.28603e+03 7.20255e+01 2.70000e+07
1.28456e+03 7.19846e+01 2.70000e+07
1.28309e+03 7.19437e+01 2.70000e+07
1.28163e+03 7.19029e+01 2.70000e+07
1.28016e+03 7.18622e+01 2.70000e+07
1.27869e+03 7.18216e+01 2.70000e+07
1.27722e+03 7.17811e+01 2.70000e+07
1.27576e+03 7.17413e+01 2.70000e+07
1.27429e+03 7.17016e+01 2.70000e+07
1.27283e+03 7.16618e+01 2.70000e+07
1.27137e+03 7.16220e+01 2.70000e+07
