# Chi2 Rg SupportVolume
9.06606e+02 7.02837e+01 3.37500e+06
9.01662e+02 7.03415e+01 3.37500e+06
8.96738e+02 7.03961e+01 3.37500e+06
8.91837e+02 7.04482e+01 3.37500e+06
8.86959e+02 7.04975e+01 3.37500e+06
8.82103e+02 7.05445e+01 3.37500e+06
8.77248e+02 7.05888e+01 3.37500e+06
8.72410e+02 7.06295e+01 3.37500e+06
8.67599e+02 7.06670e+01 3.37500e+06
8.62807e+02 7.07013e+01 3.37500e+06
8.58026e+02 7.07334e+01 3.37500e+06
8.53278e+02 7.07636e+01 3.37500e+06
8.48553e+02 7.07921e+01 3.37500e+06
8.43838e+02 7.08185e+01 3.37500e+06
8.39146e+02 7.08427e+01 3.37500e+06
8.34488e+02 7.08653e+01 3.37500e+06
8.29851e+02 7.08868e+01 3.37500e+06
8.25220e+02 7.09062e+01 3.37500e+06
8.20602e+02 7.09231e+01 3.37500e+06
8.15997e+02 7.09378e+01 3.37500e+06
8.11437e+02 7.09506e+01 3.37500e+06
8.06896e+02 7.09610e+01 3.37500e+06
8.02379e+02 7.09690e+01 3.37500e+06
7.97885e+02 7.09750e+01 3.37500e+06
7.93409e+02 7.09796e+01 3.37500e+06
7.88966e+02 7.09830e+01 3.37500e+06
7.84539e+02 7.09857e+01 3.37500e+06
7.80124e+02 7.09873e+01 3.37500e+06
7.75731e+02 7.09867e+01 3.37500e+06
7.71349e+02 7.09843e+01 3.37500e+06
7.66994e+02 7.09813e+01 3.37500e+06
7.62652e+02 7.09781e+01 3.37500e+06
7.58329e+02 7.09744e+01 3.37500e+06
7.54032e+02 7.09699e+01 3.37500e+06
7.49765e+02 7.09643e+01 3.37500e+06
7.45531e+02 7.09575e+01 3.37500e+06
7.41324e+02 7.09503e+01 3.37500e+06
7.37153e+02 7.09425e+01 3.37500e+06
7.33008e+02 7.09335e+01 3.37500e+06
7.28885e+02 7.09233e+01 3.37500e+06
7.24785e+02 7.09129e+01 3.37500e+06
7.20721e+02 7.09018e+01 3.37500e+06
