# Chi2 Rg SupportVolume
7.05727e+02 6.19582e+01 3.37500e+06
7.01715e+02 6.20051e+01 3.37500e+06
6.97740e+02 6.20514e+01 3.37500e+06
6.93830e+02 6.20967e+01 3.37500e+06
6.89949e+02 6.21412e+01 3.37500e+06
6.86096e+02 6.21842e+01 3.37500e+06
6.82286e+02 6.22266e+01 3.37500e+06
6.78515e+02 6.22684e+01 3.37500e+06
6.74799e+02 6.23093e+01 3.37500e+06
6.71134e+02 6.23506e+01 3.37500e+06
6.67508e+02 6.23923e+01 3.37500e+06
6.63926e+02 6.24337e+01 3.37500e+06
6.60379e+02 6.24740e+01 3.37500e+06
6.56866e+02 6.25125e+01 3.37500e+06
6.53412e+02 6.25503e+01 3.37500e+06
6.49993e+02 6.25871e+01 3.37500e+06
6.46608e+02 6.26233e+01 3.37500e+06
6.43260e+02 6.26587e+01 3.37500e+06
6.39959e+02 6.26940e+01 3.37500e+06
6.36699e+02 6.27295e+01 3.37500e+06
6.33478e+02 6.27643e+01 3.37500e+06
6.30298e+02 6.27980e+01 3.37500e+06
6.27149e+02 6.28309e+01 3.37500e+06
6.24029e+02 6.28624e+01 3.37500e+06
6.20938e+02 6.28935e+01 3.37500e+06
6.17858e+02 6.29246e+01 3.37500e+06
6.14790e+02 6.29547e+01 3.37500e+06
6.11742e+02 6.29841e+01 3.37500e+06
6.08724e+02 6.30131e+01 3.37500e+06
6.05740e+02 6.30421e+01 3.37500e+06
6.02780e+02 6.30705e+01 3.37500e+06
5.99844e+02 6.30986e+01 3.37500e+06
5.96918e+02 6.31268e+01 3.37500e+06
5.94022e+02 6.31548e+01 3.37500e+06
5.91153e+02 6.31821e+01 3.37500e+06
5.88323e+02 6.32088e+01 3.37500e+06
5.85542e+02 6.32340e+01 3.37500e+06
5.82804e+02 6.32585e+01 3.37500e+06
5.80091e+02 6.32830e+01 3.37500e+06
5.77402e+02 6.33074e+01 3.37500e+06
5.74736e+02 6.33312e+01 3.37500e+06
5.72103e+02 6.33545e+01 3.37500e+06
5.69497e+02 6.33772e+01 3.37500e+06
5.66916e+02 6.33999e+01 3.37500e+06
5.64358e+02 6.34223e+01 3.37500e+06
5.61813e+02 6.34443e+01 3.37500e+06
5.59291e+02 6.34654e+01 3.37500e+06
5.56788e+02 6.34859e+01 3.37500e+06
5.54317e+02 6.35057e+01 3.37500e+06
5.51882e+02 6.35245e+01 3.37500e+06
5.49482e+02 6.35438e+01 3.37500e+06
5.47111e+02 6.35633e+01 3.37500e+06
5.44767e+02 6.35822e+01 3.37500e+06
5.42444e+02 6.36009e+01 3.37500e+06
5.40139e+02 6.36195e+01 3.37500e+06
5.37848e+02 6.36378e+01 3.37500e+06
5.35580e+02 6.36555e+01 3.37500e+06
5.33330e+02 6.36726e+01 3.37500e+06
5.31098e+02 6.36896e+01 3.37500e+06
5.28904e+02 6.37059e+01 3.37500e+06
5.26730e+02 6.37221e+01 3.37500e+06
5.24573e+02 6.37377e+01 3.37500e+06
5.22433e+02 6.37529e+01 3.37500e+06
5.20303e+02 6.37676e+01 3.37500e+06
5.18189e+02 6.37820e+01 3.37500e+06
5.16102e+02 6.37961e+01 3.37500e+06
5.14028e+02 6.38098e+01 3.37500e+06
5.11979e+02 6.38234e+01 3.37500e+06
5.09949e+02 6.38367e+01 3.37500e+06
5.07942e+02 6.38505e+01 3.37500e+06
5.05952e+02 6.38643e+01 3.37500e+06
5.03976e+02 6.38777e+01 3.37500e+06
5.02018e+02 6.38908e+01 3.37500e+06
5.00084e+02 6.39030e+01 3.37500e+06
4.98162e+02 6.39152e+01 3.37500e+06
4.96252e+02 6.39270e+01 3.37500e+06
4.94362e+02 6.39383e+01 3.37500e+06
4.92487e+02 6.39496e+01 3.37500e+06
4.90629e+02 6.39606e+01 3.37500e+06
4.88790e+02 6.39717e+01 3.37500e+06
4.86961e+02 6.39828e+01 3.37500e+06
4.85137e+02 6.39938e+01 3.37500e+06
4.83322e+02 6.40047e+01 3.37500e+06
4.81522e+02 6.40156e+01 3.37500e+06
4.79738e+02 6.40264e+01 3.37500e+06
4.77971e+02 6.40368e+01 3.37500e+06
4.76214e+02 6.40470e+01 3.37500e+06
4.74478e+02 6.40567e+01 3.37500e+06
4.72759e+02 6.40664e+01 3.37500e+06
4.71050e+02 6.40757e+01 3.37500e+06
4.69355e+02 6.40850e+01 3.37500e+06
